Find the common rule that maps an input grid to an output grid, given the examples below.
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0
0 0 4 0 0 4 0 0 1 0 0 4 0 0 1 0 0
0 4 4 4 0 4 0 4 4 1 0 4 0 1 1 1 0
0 0 4 0 0 4 0 0 1 0 0 4 0 0 1 0 0
0 0 0 0 0 4 0 0 0 0 0 4 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 7 7 7 0 2 0 0 0 0 0 2 0 0 0 0 0
0 7 0 7 0 2 0 0 0 0 0 2 0 0 0 0 0
0 7 7 7 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 7 7 0 0 2 0 0 0 7 0
0 0 0 0 0 2 0 7 0 7 0 2 0 7 0 0 0
0 0 0 0 0 2 0 0 7 0 0 2 0 0 0 7 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 7 0 0 2 0 0 7 0 0
0 0 0 0 0 2 0 7 0 0 0 2 0 0 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 7 0 0 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
Output:
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 7 7 7 0 2 0 2 2 2 0 2 0 2 2 2 0
0 7 0 7 0 2 0 2 0 2 0 2 0 2 0 2 0
0 7 7 7 0 2 0 2 2 2 0 2 0 2 2 2 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 2 2 2 0 2 0 7 7 2 0 2 0 2 2 7 0
0 2 0 2 0 2 0 7 0 7 0 2 0 7 0 2 0
0 2 2 2 0 2 0 2 7 2 0 2 0 2 2 7 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0
0 2 2 2 0 2 0 2 7 2 0 2 0 2 7 2 0
0 2 0 2 0 2 0 7 0 2 0 2 0 2 0 2 0
0 2 2 2 0 2 0 2 2 2 0 2 0 7 2 2 0
0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 6 6 6 0 8 0 0 0 0 0 8 0 0 0 0 0
0 6 0 6 0 8 0 0 0 0 0 8 0 0 0 0 0
0 6 6 6 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 6 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 0 6 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 6 6 0 8 0 6 6 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 0 0 0 0 8 0 0 0 6 0 8 0 0 0 6 0
0 0 0 0 0 8 0 0 0 0 0 8 0 6 0 6 0
0 0 0 0 0 8 0 6 6 0 0 8 0 0 6 0 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
Output:
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 6 6 6 0 8 0 8 8 8 0 8 0 8 8 8 0
0 6 0 6 0 8 0 8 0 8 0 8 0 8 0 8 0
0 6 6 6 0 8 0 8 8 8 0 8 0 8 8 8 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 8 8 8 0 8 0 6 8 8 0 8 0 8 8 8 0
0 8 0 8 0 8 0 8 0 6 0 8 0 8 0 8 0
0 8 8 8 0 8 0 8 6 6 0 8 0 6 6 8 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0
0 8 8 8 0 8 0 8 8 6 0 8 0 8 8 6 0
0 8 0 8 0 8 0 8 0 8 0 8 0 6 0 6 0
0 8 8 8 0 8 0 6 6 8 0 8 0 8 6 8 0
0 0 0 0 0 8 0 0 0 0 0 8 0 0 0 0 0

Example 1:

Input:
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
0 4 4 4 0 6 0 0 0 0 0 6 0 0 0 0 0
0 4 4 4 0 6 0 0 0 0 0 6 0 0 0 0 0
0 4 4 4 0 6 0 0 0 0 0 6 0 0 0 0 0
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
0 0 0 0 0 6 0 0 4 0 0 6 0 4 0 4 0
0 0 0 0 0 6 0 0 4 4 0 6 0 0 0 4 0
0 0 0 0 0 6 0 4 0 4 0 6 0 4 4 0 0
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
0 0 0 0 0 6 0 0 0 4 0 6 0 4 0 4 0
0 0 0 0 0 6 0 0 0 4 0 6 0 0 0 0 0
0 0 0 0 0 6 0 0 0 4 0 6 0 0 4 4 0
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
Output:
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
0 4 4 4 0 6 0 6 6 6 0 6 0 6 6 6 0
0 4 4 4 0 6 0 6 6 6 0 6 0 6 6 6 0
0 4 4 4 0 6 0 6 6 6 0 6 0 6 6 6 0
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
0 6 6 6 0 6 0 6 4 6 0 6 0 4 6 4 0
0 6 6 6 0 6 0 6 4 4 0 6 0 6 6 4 0
0 6 6 6 0 6 0 4 6 4 0 6 0 4 4 6 0
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0
0 6 6 6 0 6 0 6 6 4 0 6 0 4 6 4 0
0 6 6 6 0 6 0 6 6 4 0 6 0 6 6 6 0
0 6 6 6 0 6 0 6 6 4 0 6 0 6 4 4 0
0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0


Write the **short** Python code in code golf manners that performs the transformation according to the rule in following format: `def p(g): ...`. Note that input and output are passed by 2D arrays.
